Gene_name	phylogenetic_scores
A1CF	0.102942933261032
A2M	0.574098426806005
A2ML1	0.574098426806005
A3GALT2	0.0829455912361071
A4GALT	0.0212930223194585
A4GNT	0.0212930223194585
AAAS	0.0633137488246299
AACS	0.102942933261032
AADAC	0.0633137488246299
AADACL2	0.0633137488246299
AADACL3	0
AADACL4	0
AADAT	0.0118153522971331
AAGAB	0.058590689200344
AAK1	0.102942933261032
AAMDC	0.0829455912361071
AAMP	0.102942933261032
AANAT	0.0829455912361071
AAR2	0.00130704149384362
AARD	0.00639484343549011
AARS1	0.102942933261032
AARS2	0.102942933261032
AARSD1	0.102942933261032
AASDH	0.00424237598085655
AASDHPPT	0.0260154766007149
AASS	0.00982564476906596
AATF	0.00130704149384362
AATK	0.102942933261032
ABAT	0.0118153522971331
ABCA1	0.102942933261032
ABCA10	0.102942933261032
ABCA11P	0
ABCA12	0.102942933261032
ABCA13	0.102942933261032
ABCA2	0.102942933261032
ABCA3	0.102942933261032
ABCA4	0.102942933261032
ABCA5	0.102942933261032
ABCA6	0.102942933261032
ABCA7	0.102942933261032
ABCA8	0.102942933261032
ABCA9	0.102942933261032
ABCB1	0.102942933261032
ABCB10	0.102942933261032
ABCB11	0.102942933261032
ABCB4	0.102942933261032
ABCB5	0.102942933261032
ABCB6	0.102942933261032
ABCB7	0.102942933261032
ABCB8	0.102942933261032
ABCB9	0.102942933261032
ABCC1	0.102942933261032
ABCC10	0.102942933261032
ABCC11	0.102942933261032
ABCC12	0.102942933261032
ABCC2	0.102942933261032
ABCC3	0.102942933261032
ABCC4	0.102942933261032
ABCC5	0.102942933261032
ABCC6	0.102942933261032
ABCC8	0.102942933261032
ABCC9	0.102942933261032
ABCD1	0.102942933261032
ABCD2	0.102942933261032
ABCD3	0.102942933261032
ABCD4	0.102942933261032
ABCE1	0.102942933261032
ABCF1	0.102942933261032
ABCF2	0.102942933261032
ABCF2-H2BK1	0.102942933261032
ABCF3	0.102942933261032
ABCG1	0.102942933261032
ABCG2	0.102942933261032
ABCG4	0.102942933261032
ABCG5	0.102942933261032
ABCG8	0.102942933261032
ABHD1	0.0189865574116642
ABHD10	0.0829455912361071
ABHD11	0.0189865574116642
ABHD12	0.102942933261032
ABHD12B	0.102942933261032
ABHD13	0.102942933261032
ABHD14A	0.316026874406605
ABHD14A-ACY1	0.0118153522971331
ABHD14B	0.316026874406605
ABHD15	0.0189865574116642
ABHD16A	0.574098426806005
ABHD16B	0.142601177253559
ABHD17A	0.102942933261032
ABHD17B	0.102942933261032
ABHD17C	0.102942933261032
ABHD18	0.0393677939223492
